period,price,session,market,fv,rad
1,214,online1,1,240,0.7295454545454544
2,164,online1,1,216,0.7295454545454544
3,161,online1,1,192,0.7295454545454544
4,187,online1,1,168,0.7295454545454544
5,289,online1,1,144,0.7295454545454544
6,331,online1,1,120,0.7295454545454544
7,379,online1,1,96,0.7295454545454544
8,213,online1,1,72,0.7295454545454544
9,59,online1,1,48,0.7295454545454544
10,68,online1,1,24,0.7295454545454544
1,496,online1,2,240,1.4242424242424243
2,501,online1,2,216,1.4242424242424243
3,523,online1,2,192,1.4242424242424243
4,288,online1,2,168,1.4242424242424243
5,335,online1,2,144,1.4242424242424243
6,303,online1,2,120,1.4242424242424243
7,311,online1,2,96,1.4242424242424243
8,150,online1,2,72,1.4242424242424243
9,192,online1,2,48,1.4242424242424243
10,101,online1,2,24,1.4242424242424243
1,264,online10,1,240,2.543939393939394
2,513,online10,1,216,2.543939393939394
3,366,online10,1,192,2.543939393939394
4,571,online10,1,168,2.543939393939394
5,404,online10,1,144,2.543939393939394
6,665,online10,1,120,2.543939393939394
7,478,online10,1,96,2.543939393939394
8,876,online10,1,72,2.543939393939394
9,362,online10,1,48,2.543939393939394
10,179,online10,1,24,2.543939393939394
1,589,online10,2,240,2.3340909090909094
2,566,online10,2,216,2.3340909090909094
3,610,online10,2,192,2.3340909090909094
4,724,online10,2,168,2.3340909090909094
5,902,online10,2,144,2.3340909090909094
6,364,online10,2,120,2.3340909090909094
7,173,online10,2,96,2.3340909090909094
8,294,online10,2,72,2.3340909090909094
9,118,online10,2,48,2.3340909090909094
10,61,online10,2,24,2.3340909090909094
1,568,online2,1,240,1.8833333333333333
2,480,online2,1,216,1.8833333333333333
3,398,online2,1,192,1.8833333333333333
4,107,online2,1,168,1.8833333333333333
5,476,online2,1,144,1.8833333333333333
6,391,online2,1,120,1.8833333333333333
7,503,online2,1,96,1.8833333333333333
8,490,online2,1,72,1.8833333333333333
9,186,online2,1,48,1.8833333333333333
10,85,online2,1,24,1.8833333333333333
1,620,online2,2,240,1.3984848484848487
2,485,online2,2,216,1.3984848484848487
3,466,online2,2,192,1.3984848484848487
4,304,online2,2,168,1.3984848484848487
5,286,online2,2,144,1.3984848484848487
6,177,online2,2,120,1.3984848484848487
7,283,online2,2,96,1.3984848484848487
8,113,online2,2,72,1.3984848484848487
9,273,online2,2,48,1.3984848484848487
10,159,online2,2,24,1.3984848484848487
1,618,online3,1,240,3.2590909090909093
2,219,online3,1,216,3.2590909090909093
3,746,online3,1,192,3.2590909090909093
4,498,online3,1,168,3.2590909090909093
5,562,online3,1,144,3.2590909090909093
6,908,online3,1,120,3.2590909090909093
7,697,online3,1,96,3.2590909090909093
8,772,online3,1,72,3.2590909090909093
9,476,online3,1,48,3.2590909090909093
10,126,online3,1,24,3.2590909090909093
1,679,online3,2,240,2.21060606060606
2,633,online3,2,216,2.21060606060606
3,366,online3,2,192,2.21060606060606
4,638,online3,2,168,2.21060606060606
5,493,online3,2,144,2.21060606060606
6,300,online3,2,120,2.21060606060606
7,464,online3,2,96,2.21060606060606
8,438,online3,2,72,2.21060606060606
9,193,online3,2,48,2.21060606060606
10,14,online3,2,24,2.21060606060606
1,184,online4,1,240,1.6280303030303027
2,93,online4,1,216,1.6280303030303027
3,206,online4,1,192,1.6280303030303027
4,206,online4,1,168,1.6280303030303027
5,472,online4,1,144,1.6280303030303027
6,482,online4,1,120,1.6280303030303027
7,827,online4,1,96,1.6280303030303027
8,195,online4,1,72,1.6280303030303027
9,374,online4,1,48,1.6280303030303027
10,72,online4,1,24,1.6280303030303027
1,515,online4,2,240,2.9462121212121213
2,814,online4,2,216,2.9462121212121213
3,382,online4,2,192,2.9462121212121213
4,778,online4,2,168,2.9462121212121213
5,972,online4,2,144,2.9462121212121213
6,519,online4,2,120,2.9462121212121213
7,112,online4,2,96,2.9462121212121213
8,647,online4,2,72,2.9462121212121213
9,389,online4,2,48,2.9462121212121213
10,81,online4,2,24,2.9462121212121213
1,363,online5,1,240,0.7295454545454544
2,451,online5,1,216,0.7295454545454544
3,188,online5,1,192,0.7295454545454544
4,496,online5,1,168,0.7295454545454544
5,142,online5,1,144,0.7295454545454544
6,130,online5,1,120,0.7295454545454544
7,238,online5,1,96,0.7295454545454544
8,99,online5,1,72,0.7295454545454544
9,129,online5,1,48,0.7295454545454544
10,35,online5,1,24,0.7295454545454544
1,482,online5,2,240,1.2515151515151517
2,609,online5,2,216,1.2515151515151517
3,713,online5,2,192,1.2515151515151517
4,188,online5,2,168,1.2515151515151517
5,323,online5,2,144,1.2515151515151517
